#score	name1	strand1	size1	zstart1	end1	name2	strand2	size2	zstart2	end2	identity	idPct	coverage	covPct
9.160000e+03	chr22	+	51304566	20601500	20609966	chr22-14510001-14520000	+	10000	0	8686	361/510	70.8%	8686/10000	86.9%
8.185760e+05	chr22	+	51304566	16306995	16316084	chr22-14680001-14690000	+	10000	940	10000	8882/9052	98.1%	9060/10000	90.6%
3.593070e+05	chr22	+	51304566	16297141	16303460	chr22-14690001-14700000	+	10000	4357	10000	4849/5565	87.1%	5643/10000	56.4%
8.629770e+05	chr22	+	51304566	16316084	16326033	chr22-14690001-14700000	+	10000	0	10000	9580/9920	96.6%	10000/10000	100.0%
5.569110e+05	chr22	+	51304566	16326033	16334510	chr22-14700001-14710000	+	10000	0	8331	7128/7866	90.6%	8331/10000	83.3%
9.818000e+03	chr22	+	51304566	20508413	20513919	chr22-14790001-14800000	+	10000	4338	10000	637/956	66.6%	5662/10000	56.6%
3.473700e+04	chr22	+	51304566	16842349	16849778	chr22-15220001-15230000	+	10000	0	6939	1127/1413	79.8%	6939/10000	69.4%
7.204260e+05	chr22	+	51304566	16866216	16874526	chr22-15250001-15260000	+	10000	0	8056	7823/8011	97.7%	8056/10000	80.6%
4.916120e+05	chr22	+	51304566	16472344	16478266	chr22-15260001-15270000	+	10000	1872	7747	5554/5839	95.1%	5875/10000	58.8%
9.060840e+05	chr22	+	51304566	16876405	16886405	chr22-15260001-15270000	+	10000	0	10000	9789/9976	98.1%	10000/10000	100.0%
8.949830e+05	chr22	+	51304566	16886405	16896281	chr22-15270001-15280000	+	10000	0	10000	9710/9865	98.4%	10000/10000	100.0%
4.626670e+05	chr22	+	51304566	16904529	16909699	chr22-15290001-15300000	+	10000	0	5133	5031/5128	98.1%	5133/10000	51.3%
8.988280e+05	chr22	+	51304566	16915603	16925612	chr22-15300001-15310000	+	10000	0	10000	9799/9967	98.3%	10000/10000	100.0%
8.993250e+05	chr22	+	51304566	16925612	16935598	chr22-15310001-15320000	+	10000	0	10000	9753/9973	97.8%	10000/10000	100.0%
4.527600e+05	chr22	+	51304566	17141287	17147397	chr22-15310001-15320000	+	10000	2360	8503	5411/6075	89.1%	6143/10000	61.4%
4.280950e+05	chr22	+	51304566	17455598	17463830	chr22-15310001-15320000	+	10000	2349	10000	6162/7473	82.5%	7651/10000	76.5%
4.673600e+05	chr22	+	51304566	17505011	17511177	chr22-15310001-15320000	+	10000	2350	8508	5510/6125	90.0%	6158/10000	61.6%
4.711360e+05	chr22	+	51304566	22542239	22548366	chr22-15310001-15320000	+	10000	2355	8503	5514/6090	90.5%	6148/10000	61.5%
4.618980e+05	chr22	+	51304566	24005168	24011314	chr22-15310001-15320000	+	10000	2353	8499	5467/6091	89.8%	6146/10000	61.5%
2.940960e+05	chr22	+	51304566	28431798	28437151	chr22-15310001-15320000	+	10000	4672	10000	4266/5126	83.2%	5328/10000	53.3%
4.593340e+05	chr22	+	51304566	28479523	28485662	chr22-15310001-15320000	+	10000	2359	8505	5431/6103	89.0%	6146/10000	61.5%
4.591140e+05	chr22	+	51304566	28559663	28565818	chr22-15310001-15320000	+	10000	2352	8505	5450/6107	89.2%	6153/10000	61.5%
4.543290e+05	chr22	+	51304566	28587311	28593424	chr22-15310001-15320000	+	10000	2369	8505	5419/6065	89.3%	6136/10000	61.4%
4.621450e+05	chr22	+	51304566	28605170	28611279	chr22-15310001-15320000	+	10000	2359	8505	5475/6081	90.0%	6146/10000	61.5%
2.772310e+05	chr22	+	51304566	28902444	28908913	chr22-15310001-15320000	+	10000	2921	8494	4344/5414	80.2%	5573/10000	55.7%
4.681930e+05	chr22	+	51304566	28924928	28931060	chr22-15310001-15320000	+	10000	2349	8505	5505/6104	90.2%	6156/10000	61.6%
3.782830e+05	chr22	+	51304566	29005267	29011941	chr22-15310001-15320000	+	10000	2350	8504	5136/5965	86.1%	6154/10000	61.5%
4.465530e+05	chr22	+	51304566	29059281	29065300	chr22-15310001-15320000	+	10000	2359	8505	5323/5978	89.0%	6146/10000	61.5%
3.807260e+05	chr22	+	51304566	34036616	34042595	chr22-15310001-15320000	+	10000	2680	8504	4909/5723	85.8%	5824/10000	58.2%
4.618380e+05	chr22	+	51304566	35184704	35190826	chr22-15310001-15320000	+	10000	2355	8497	5452/6087	89.6%	6142/10000	61.4%
4.617030e+05	chr22	+	51304566	35212786	35218914	chr22-15310001-15320000	+	10000	2355	8496	5465/6089	89.8%	6141/10000	61.4%
3.959260e+05	chr22	+	51304566	16478268	16483636	chr22-15310001-15320000	-	10000	2246	7651	4751/5336	89.0%	5405/10000	54.0%
3.945010e+05	chr22	+	51304566	17477554	17482636	chr22-15310001-15320000	-	10000	1495	6599	4597/5063	90.8%	5104/10000	51.0%
4.634750e+05	chr22	+	51304566	17774188	17780668	chr22-15310001-15320000	-	10000	1495	7651	5541/6133	90.3%	6156/10000	61.6%
4.339760e+05	chr22	+	51304566	22405364	22412141	chr22-15310001-15320000	-	10000	1495	7643	5432/6098	89.1%	6148/10000	61.5%
4.401310e+05	chr22	+	51304566	22631180	22637186	chr22-15310001-15320000	-	10000	1492	7641	5300/5966	88.8%	6149/10000	61.5%
4.589580e+05	chr22	+	51304566	28729835	28736022	chr22-15310001-15320000	-	10000	1489	7646	5461/6101	89.5%	6157/10000	61.6%
4.412270e+05	chr22	+	51304566	28782835	28788847	chr22-15310001-15320000	-	10000	1497	7641	5296/5970	88.7%	6144/10000	61.4%
4.418360e+05	chr22	+	51304566	32690653	32696661	chr22-15310001-15320000	-	10000	1495	7639	5303/5962	88.9%	6144/10000	61.4%
2.136290e+05	chr22	+	51304566	34646174	34651990	chr22-15310001-15320000	-	10000	2127	7761	3955/5301	74.6%	5634/10000	56.3%
4.402310e+05	chr22	+	51304566	34945672	34951704	chr22-15310001-15320000	-	10000	1491	7654	5304/5988	88.6%	6163/10000	61.6%
4.415400e+05	chr22	+	51304566	35073362	35079381	chr22-15310001-15320000	-	10000	1495	7641	5308/5970	88.9%	6146/10000	61.5%
4.136830e+05	chr22	+	51304566	35420977	35427405	chr22-15310001-15320000	-	10000	1495	7649	5274/6075	86.8%	6154/10000	61.5%
3.435890e+05	chr22	+	51304566	47213159	47218662	chr22-15310001-15320000	-	10000	1495	6998	4491/5412	83.0%	5503/10000	55.0%
4.346890e+05	chr22	+	51304566	47741538	47747407	chr22-15310001-15320000	-	10000	1495	7645	5248/5834	90.0%	6150/10000	61.5%
4.448020e+05	chr22	+	51304566	49381563	49387594	chr22-15310001-15320000	-	10000	1482	7641	5320/5990	88.8%	6159/10000	61.6%
9.048560e+05	chr22	+	51304566	16935598	16945590	chr22-15320001-15330000	+	10000	0	10000	9795/9981	98.1%	10000/10000	100.0%
5.687520e+05	chr22	+	51304566	16945590	16952804	chr22-15330001-15340000	+	10000	0	7232	6669/7112	93.8%	7232/10000	72.3%
4.869810e+05	chr22	+	51304566	16962086	16967602	chr22-15340001-15350000	+	10000	4517	10000	5344/5466	97.8%	5483/10000	54.8%
9.170580e+05	chr22	+	51304566	16967602	16977599	chr22-15350001-15360000	+	10000	0	10000	9846/9986	98.6%	10000/10000	100.0%
9.151500e+05	chr22	+	51304566	16977599	16987643	chr22-15360001-15370000	+	10000	0	10000	9834/9973	98.6%	10000/10000	100.0%
9.112380e+05	chr22	+	51304566	16987620	16997626	chr22-15370001-15380000	+	10000	0	10000	9794/9989	98.0%	10000/10000	100.0%
6.864090e+05	chr22	+	51304566	29078649	29086663	chr22-15370001-15380000	-	10000	2026	10000	7575/7941	95.4%	7974/10000	79.7%
9.153120e+05	chr22	+	51304566	16997626	17007770	chr22-15380001-15390000	+	10000	0	10000	9827/9994	98.3%	10000/10000	100.0%
5.943890e+05	chr22	+	51304566	29071650	29078722	chr22-15380001-15390000	-	10000	2097	9086	6631/6959	95.3%	6989/10000	69.9%
1.006120e+05	chr22	+	51304566	17007375	17013663	chr22-15390001-15400000	+	10000	0	6317	3773/5620	67.1%	6317/10000	63.2%
1.097360e+05	chr22	+	51304566	17007679	17013682	chr22-15390001-15400000	+	10000	0	6319	3766/5491	68.6%	6319/10000	63.2%
1.778630e+05	chr22	+	51304566	17007764	17015966	chr22-15390001-15400000	+	10000	0	8552	5266/7574	69.5%	8552/10000	85.5%
7.223740e+05	chr22	+	51304566	17007770	17015966	chr22-15390001-15400000	+	10000	0	8514	7936/8139	97.5%	8514/10000	85.1%
1.495120e+05	chr22	+	51304566	17007862	17015964	chr22-15390001-15400000	+	10000	0	7893	4882/7229	67.5%	7893/10000	78.9%
1.727160e+05	chr22	+	51304566	17007862	17015964	chr22-15390001-15400000	+	10000	0	8481	5155/7487	68.9%	8481/10000	84.8%
1.577020e+05	chr22	+	51304566	17007862	17015964	chr22-15390001-15400000	+	10000	0	7942	4905/7174	68.4%	7942/10000	79.4%
1.097470e+05	chr22	+	51304566	17008105	17013989	chr22-15390001-15400000	+	10000	0	5984	3593/5300	67.8%	5984/10000	59.8%
2.423390e+05	chr22	+	51304566	22639283	22649297	chr22-15390001-15400000	-	10000	0	10000	6467/9019	71.7%	10000/10000	100.0%
7.928940e+05	chr22	+	51304566	22639608	22649389	chr22-15390001-15400000	-	10000	0	10000	9116/9492	96.0%	10000/10000	100.0%
2.324220e+05	chr22	+	51304566	22639645	22649480	chr22-15390001-15400000	-	10000	0	10000	6391/9009	70.9%	10000/10000	100.0%
1.101110e+05	chr22	+	51304566	22643097	22649294	chr22-15390001-15400000	-	10000	3718	10000	3815/5604	68.1%	6282/10000	62.8%
1.102490e+05	chr22	+	51304566	22643099	22649060	chr22-15390001-15400000	-	10000	3988	10000	3636/5276	68.9%	6012/10000	60.1%
1.091640e+05	chr22	+	51304566	22643155	22649745	chr22-15390001-15400000	-	10000	3681	10000	3915/5817	67.3%	6319/10000	63.2%
9.072950e+05	chr22	+	51304566	17015693	17025682	chr22-15400001-15410000	+	10000	0	10000	9825/9967	98.6%	10000/10000	100.0%
6.703940e+05	chr22	+	51304566	22623538	22631694	chr22-15400001-15410000	-	10000	0	8292	7692/8117	94.8%	8292/10000	82.9%
9.069360e+05	chr22	+	51304566	17025682	17035834	chr22-15410001-15420000	+	10000	0	10000	9768/9952	98.2%	10000/10000	100.0%
8.259920e+05	chr22	+	51304566	22613913	22623538	chr22-15410001-15420000	-	10000	0	10000	9179/9556	96.1%	10000/10000	100.0%
5.201370e+05	chr22	+	51304566	17035834	17042513	chr22-15420001-15430000	+	10000	0	7517	6242/6588	94.7%	7517/10000	75.2%
2.600870e+05	chr22	+	51304566	17038167	17043790	chr22-15420001-15430000	+	10000	2528	10000	4603/5484	83.9%	7472/10000	74.7%
1.900340e+05	chr22	+	51304566	17038344	17042513	chr22-15420001-15430000	+	10000	2351	7473	3350/3975	84.3%	5122/10000	51.2%
1.689740e+05	chr22	+	51304566	17039030	17044534	chr22-15420001-15430000	+	10000	3407	10000	3975/5328	74.6%	6593/10000	65.9%
1.946540e+05	chr22	+	51304566	17039088	17043692	chr22-15420001-15430000	+	10000	4786	10000	3557/4392	81.0%	5214/10000	52.1%
1.850670e+05	chr22	+	51304566	17039088	17043764	chr22-15420001-15430000	+	10000	3684	10000	3703/4559	81.2%	6316/10000	63.2%
2.144550e+05	chr22	+	51304566	17039136	17044111	chr22-15420001-15430000	+	10000	3582	10000	3986/4931	80.8%	6418/10000	64.2%
2.221730e+05	chr22	+	51304566	17039189	17044273	chr22-15420001-15430000	+	10000	3315	8752	3885/4759	81.6%	5437/10000	54.4%
2.313990e+05	chr22	+	51304566	17039221	17045632	chr22-15420001-15430000	+	10000	3304	10000	4599/6014	76.5%	6696/10000	67.0%
2.378330e+05	chr22	+	51304566	17039360	17045874	chr22-15420001-15430000	+	10000	3304	10000	4663/5998	77.7%	6696/10000	67.0%
2.512100e+05	chr22	+	51304566	17039490	17045125	chr22-15420001-15430000	+	10000	3315	8751	4164/5150	80.9%	5436/10000	54.4%
2.516500e+05	chr22	+	51304566	17039534	17045315	chr22-15420001-15430000	+	10000	3315	8752	4194/5178	81.0%	5437/10000	54.4%
2.476920e+05	chr22	+	51304566	17039629	17046757	chr22-15420001-15430000	+	10000	3315	10000	4890/6316	77.4%	6685/10000	66.8%
2.321250e+05	chr22	+	51304566	17040322	17046922	chr22-15420001-15430000	+	10000	3315	10000	4643/6090	76.2%	6685/10000	66.8%
2.457590e+05	chr22	+	51304566	17040645	17046454	chr22-15420001-15430000	+	10000	3308	8751	4232/5247	80.7%	5443/10000	54.4%
2.581320e+05	chr22	+	51304566	17040659	17046576	chr22-15420001-15430000	+	10000	3275	8752	4279/5275	81.1%	5477/10000	54.8%
2.451600e+05	chr22	+	51304566	17041082	17046748	chr22-15420001-15430000	+	10000	3315	8752	4181/5148	81.2%	5437/10000	54.4%
2.377450e+05	chr22	+	51304566	17041235	17048001	chr22-15420001-15430000	+	10000	3315	10000	4717/6123	77.0%	6685/10000	66.8%
2.399310e+05	chr22	+	51304566	17041242	17046982	chr22-15420001-15430000	+	10000	3275	8752	4169/5178	80.5%	5477/10000	54.8%
2.453330e+05	chr22	+	51304566	17041434	17047138	chr22-15420001-15430000	+	10000	3315	8752	4176/5178	80.6%	5437/10000	54.4%
2.398440e+05	chr22	+	51304566	17041538	17047164	chr22-15420001-15430000	+	10000	3315	8752	4145/5175	80.1%	5437/10000	54.4%
2.437310e+05	chr22	+	51304566	17041824	17047406	chr22-15420001-15430000	+	10000	3315	8753	4136/5198	79.6%	5438/10000	54.4%
2.223300e+05	chr22	+	51304566	17041884	17047431	chr22-15420001-15430000	+	10000	3323	8752	4060/5065	80.2%	5429/10000	54.3%
2.472400e+05	chr22	+	51304566	17041893	17047493	chr22-15420001-15430000	+	10000	3315	8753	4144/4994	83.0%	5438/10000	54.4%
2.564440e+05	chr22	+	51304566	17042116	17048805	chr22-15420001-15430000	+	10000	3315	10000	4780/5970	80.1%	6685/10000	66.8%
2.249500e+05	chr22	+	51304566	17042435	17047793	chr22-15420001-15430000	+	10000	3314	8752	3991/4991	80.0%	5438/10000	54.4%
2.385100e+05	chr22	+	51304566	17042557	17047889	chr22-15420001-15430000	+	10000	3148	8752	4071/5027	81.0%	5604/10000	56.0%
2.480540e+05	chr22	+	51304566	17042779	17047975	chr22-15420001-15430000	+	10000	3148	8752	4076/4951	82.3%	5604/10000	56.0%
2.574160e+05	chr22	+	51304566	17043003	17049324	chr22-15420001-15430000	+	10000	3148	10000	4769/6058	78.7%	6852/10000	68.5%
2.701280e+05	chr22	+	51304566	17043219	17048311	chr22-15420001-15430000	+	10000	3150	8752	4155/4855	85.6%	5602/10000	56.0%
3.103970e+05	chr22	+	51304566	17043444	17049358	chr22-15420001-15430000	+	10000	3148	8752	4561/5312	85.9%	5604/10000	56.0%
2.892450e+05	chr22	+	51304566	17043574	17049055	chr22-15420001-15430000	+	10000	3322	8752	4360/5112	85.3%	5430/10000	54.3%
2.628650e+05	chr22	+	51304566	17043574	17048873	chr22-15420001-15430000	+	10000	3365	8752	4190/5064	82.7%	5387/10000	53.9%
2.726890e+05	chr22	+	51304566	17043574	17048606	chr22-15420001-15430000	+	10000	3452	8752	4128/4768	86.6%	5300/10000	53.0%
2.949850e+05	chr22	+	51304566	17043574	17048925	chr22-15420001-15430000	+	10000	3348	8752	4331/5022	86.2%	5404/10000	54.0%
2.765740e+05	chr22	+	51304566	17043574	17048623	chr22-15420001-15430000	+	10000	3391	8752	4147/4788	86.6%	5361/10000	53.6%
2.636120e+05	chr22	+	51304566	17043575	17048986	chr22-15420001-15430000	+	10000	3332	8752	4232/5076	83.4%	5420/10000	54.2%
2.526700e+05	chr22	+	51304566	17043575	17048619	chr22-15420001-15430000	+	10000	3427	8753	4063/4794	84.8%	5326/10000	53.3%
3.080120e+05	chr22	+	51304566	17043593	17049203	chr22-15420001-15430000	+	10000	3299	8753	4508/5283	85.3%	5454/10000	54.5%
2.298550e+05	chr22	+	51304566	17043602	17049115	chr22-15420001-15430000	+	10000	3321	8752	4148/5153	80.5%	5431/10000	54.3%
2.239950e+05	chr22	+	51304566	17043602	17049063	chr22-15420001-15430000	+	10000	3343	8751	4111/5113	80.4%	5408/10000	54.1%
2.773640e+05	chr22	+	51304566	17043602	17049081	chr22-15420001-15430000	+	10000	3325	8752	4348/5138	84.6%	5427/10000	54.3%
2.603790e+05	chr22	+	51304566	17043602	17048571	chr22-15420001-15430000	+	10000	3511	8752	4053/4704	86.2%	5241/10000	52.4%
2.100410e+05	chr22	+	51304566	17043603	17048842	chr22-15420001-15430000	+	10000	3395	8746	3953/4999	79.1%	5351/10000	53.5%
2.292400e+05	chr22	+	51304566	17043603	17048580	chr22-15420001-15430000	+	10000	3495	8752	3972/4725	84.1%	5257/10000	52.6%
2.418880e+05	chr22	+	51304566	17043603	17048407	chr22-15420001-15430000	+	10000	3533	8752	3898/4513	86.4%	5219/10000	52.2%
2.857040e+05	chr22	+	51304566	17043606	17048822	chr22-15420001-15430000	+	10000	3415	8752	4225/4978	84.9%	5337/10000	53.4%
2.978880e+05	chr22	+	51304566	17043607	17049141	chr22-15420001-15430000	+	10000	3321	8752	4418/5159	85.6%	5431/10000	54.3%
2.665450e+05	chr22	+	51304566	17043611	17048692	chr22-15420001-15430000	+	10000	3425	8751	4106/4861	84.5%	5326/10000	53.3%
2.902400e+05	chr22	+	51304566	17043613	17049176	chr22-15420001-15430000	+	10000	3323	8752	4394/5170	85.0%	5429/10000	54.3%
2.603420e+05	chr22	+	51304566	17043613	17048433	chr22-15420001-15430000	+	10000	3534	8752	3949/4548	86.8%	5218/10000	52.2%
2.585490e+05	chr22	+	51304566	17043627	17049211	chr22-15420001-15430000	+	10000	3319	8752	4296/5224	82.2%	5433/10000	54.3%
2.948880e+05	chr22	+	51304566	17043630	17049228	chr22-15420001-15430000	+	10000	3318	8752	4447/5272	84.4%	5434/10000	54.3%
2.509650e+05	chr22	+	51304566	17043634	17049254	chr22-15420001-15430000	+	10000	3318	8752	4284/5228	81.9%	5434/10000	54.3%
2.061360e+05	chr22	+	51304566	17043641	17048372	chr22-15420001-15430000	+	10000	3601	8752	3703/4507	82.2%	5151/10000	51.5%
2.130090e+05	chr22	+	51304566	17043647	17048476	chr22-15420001-15430000	+	10000	3569	8752	3785/4604	82.2%	5183/10000	51.8%
3.088390e+05	chr22	+	51304566	17043680	17049280	chr22-15420001-15430000	+	10000	3331	8752	4487/5214	86.1%	5421/10000	54.2%
2.109570e+05	chr22	+	51304566	17043689	17049297	chr22-15420001-15430000	+	10000	3331	8752	4084/5237	78.0%	5421/10000	54.2%
2.737010e+05	chr22	+	51304566	17043706	17049315	chr22-15420001-15430000	+	10000	3332	8752	4379/5252	83.4%	5420/10000	54.2%
2.121930e+05	chr22	+	51304566	17043710	17049323	chr22-15420001-15430000	+	10000	3331	8752	4078/5240	77.8%	5421/10000	54.2%
2.988370e+05	chr22	+	51304566	17043714	17049332	chr22-15420001-15430000	+	10000	3331	8752	4433/5210	85.1%	5421/10000	54.2%
1.896890e+05	chr22	+	51304566	17043748	17049337	chr22-15420001-15430000	+	10000	3331	8753	3996/5215	76.6%	5422/10000	54.2%
2.596150e+05	chr22	+	51304566	17043762	17049184	chr22-15420001-15430000	+	10000	3479	8751	4200/5078	82.7%	5272/10000	52.7%
2.657280e+05	chr22	+	51304566	17043766	17049351	chr22-15420001-15430000	+	10000	3332	8749	4318/5171	83.5%	5417/10000	54.2%
2.654750e+05	chr22	+	51304566	17043773	17049367	chr22-15420001-15430000	+	10000	3304	8752	4299/5193	82.8%	5448/10000	54.5%
2.976500e+05	chr22	+	51304566	17043793	17049395	chr22-15420001-15430000	+	10000	3315	8764	4444/5249	84.7%	5449/10000	54.5%
2.581950e+05	chr22	+	51304566	17043810	17049382	chr22-15420001-15430000	+	10000	3315	8745	4250/5195	81.8%	5430/10000	54.3%
3.073670e+05	chr22	+	51304566	17043840	17049391	chr22-15420001-15430000	+	10000	3315	8750	4438/5213	85.1%	5435/10000	54.4%
1.894580e+05	chr22	+	51304566	17043848	17049300	chr22-15420001-15430000	+	10000	3315	8656	3905/5111	76.4%	5341/10000	53.4%
2.480990e+05	chr22	+	51304566	17043859	17049158	chr22-15420001-15430000	+	10000	3588	8751	4053/4928	82.2%	5163/10000	51.6%
2.659120e+05	chr22	+	51304566	17043866	17049370	chr22-15420001-15430000	+	10000	3315	8725	4272/5167	82.7%	5410/10000	54.1%
2.988360e+05	chr22	+	51304566	17043901	17049387	chr22-15420001-15430000	+	10000	3315	8742	4408/5166	85.3%	5427/10000	54.3%
2.180150e+05	chr22	+	51304566	17043963	17049096	chr22-15420001-15430000	+	10000	3318	8418	3855/4892	78.8%	5100/10000	51.0%
2.635250e+05	chr22	+	51304566	17044053	17049153	chr22-15420001-15430000	+	10000	3315	8477	4056/4919	82.5%	5162/10000	51.6%
2.344970e+05	chr22	+	51304566	17044096	17049100	chr22-15420001-15430000	+	10000	3319	8410	3858/4784	80.6%	5091/10000	50.9%
2.959220e+05	chr22	+	51304566	17044132	17049391	chr22-15420001-15430000	+	10000	3303	8724	4283/5031	85.1%	5421/10000	54.2%
1.750340e+05	chr22	+	51304566	17044150	17049300	chr22-15420001-15430000	+	10000	3541	8648	3702/4863	76.1%	5107/10000	51.1%
2.776740e+05	chr22	+	51304566	17044161	17049391	chr22-15420001-15430000	+	10000	3315	8664	4202/4978	84.4%	5349/10000	53.5%
2.518420e+05	chr22	+	51304566	17044207	17049391	chr22-15420001-15430000	+	10000	3315	8501	4080/4933	82.7%	5186/10000	51.9%
1.882170e+05	chr22	+	51304566	17044216	17049387	chr22-15420001-15430000	+	10000	3315	8493	3786/4917	77.0%	5178/10000	51.8%
2.907780e+05	chr22	+	51304566	17044216	17049391	chr22-15420001-15430000	+	10000	3332	8536	4190/4911	85.3%	5204/10000	52.0%
2.834070e+05	chr22	+	51304566	17044225	17049387	chr22-15420001-15430000	+	10000	3315	8489	4159/4897	84.9%	5174/10000	51.7%
2.326360e+05	chr22	+	51304566	17044235	17049391	chr22-15420001-15430000	+	10000	3381	8689	3963/4910	80.7%	5308/10000	53.1%
1.882820e+05	chr22	+	51304566	17044242	17049391	chr22-15420001-15430000	+	10000	3315	8476	3752/4926	76.2%	5161/10000	51.6%
2.463440e+05	chr22	+	51304566	17044296	17049391	chr22-15420001-15430000	+	10000	3315	8467	3997/4904	81.5%	5152/10000	51.5%
2.730600e+05	chr22	+	51304566	17044341	17049391	chr22-15420001-15430000	+	10000	3317	8458	4058/4887	83.0%	5141/10000	51.4%
2.464730e+05	chr22	+	51304566	17044347	17049391	chr22-15420001-15430000	+	10000	3315	8441	3979/4844	82.1%	5126/10000	51.3%
2.856850e+05	chr22	+	51304566	17044381	17049391	chr22-15420001-15430000	+	10000	3315	8406	4080/4758	85.8%	5091/10000	50.9%
2.083160e+05	chr22	+	51304566	17044385	17049391	chr22-15420001-15430000	+	10000	3315	8389	3765/4773	78.9%	5074/10000	50.7%
2.605240e+05	chr22	+	51304566	17044398	17049391	chr22-15420001-15430000	+	10000	3319	8380	3954/4744	83.3%	5061/10000	50.6%
2.208960e+05	chr22	+	51304566	17044411	17049391	chr22-15420001-15430000	+	10000	3319	8363	3830/4757	80.5%	5044/10000	50.4%
2.710290e+05	chr22	+	51304566	17044412	17049387	chr22-15420001-15430000	+	10000	3303	8355	4008/4741	84.5%	5052/10000	50.5%
2.481860e+05	chr22	+	51304566	17044502	17049391	chr22-15420001-15430000	+	10000	3315	8333	3919/4698	83.4%	5018/10000	50.2%
2.776770e+05	chr22	+	51304566	17044528	17049391	chr22-15420001-15430000	+	10000	3315	8316	4003/4679	85.6%	5001/10000	50.0%
2.214980e+05	chr22	+	51304566	17042509	17047257	chr22-15430001-15440000	+	10000	4858	10000	3692/4554	81.1%	5142/10000	51.4%
6.669900e+04	chr22	+	51304566	17611500	17617968	chr22-15430001-15440000	+	10000	0	6830	3687/5609	65.7%	6830/10000	68.3%
